Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000118375
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000118959
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000117
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.00011625
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000121958
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.00011625
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000121708
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.0001175
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000130417
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000127792
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000115375
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000115709
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.00011825
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000117333
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.0001165
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.00011775
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000118583
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000127375
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000116459
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000119958
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000118625
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000138375
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000132166
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.0001175
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000121709
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000116542
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000147334
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000121875
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.00012375
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.00011775
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.0001185
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.00011625
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000126917
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000117708
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000115583
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000117834
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000118375
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.0001265
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000115791
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000115375
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000118708
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000115292
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.0001165
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000127292
Experiment type: add_task, Data struct: VecDeque, Task count: 1000, Time Elapsed: 0.000121792



Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.00100625
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000995959
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000957875
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000995416
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001037167
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000805083
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001015
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000951708
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001016083
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000973542
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001028875
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.0010085
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000949875
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001011125
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001009958
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001061541
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000992791
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.00097375
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000957625
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000974291
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000957708
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001015333
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.0010435
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001049375
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001030584
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000964458
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000959042
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000957292
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000998167
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001034625
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001036167
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000679666
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001040458
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000951458
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001111708
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000962083
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.00105975
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001051125
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.001058167
Experiment type: add_task, Data struct: Vec, Task count: 10000, Time Elapsed: 0.000990042

Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.001490333
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002415292
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.0021475
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002079834
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002392834
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002108791
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002114458
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002086708
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.00226175
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002362625
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002103875
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002277875
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002278125
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002100125
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002288333
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.001923041
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.00237625
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002086084
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.00229575
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002068667
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002081791
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002131625
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002069208
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.00213675
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002066042
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002076459
Experiment type: add_task, Data struct: LinkedList, Task count: 10000, Time Elapsed: 0.002301791
